stop_id,stop_name,stop_lat,stop_lon,mode,nearest_metro_id,nearest_metro_name,dist_to_metro_m,in_walk_zone,in_feeder_zone,route_diversity,Morning_freq,Midday_freq,Evening_freq
cT4xRiNG,Gandhi Shankarpally,16.9016716376025,78.3877193893536,bus,LBN,L. B. Nagar,70840.5752784659,False,False,2.0,0.0,0.3333333333333333,0.5
0zOZLEVB,Turkapally X Road,16.9104737236562,78.3700915112653,bus,LBN,L. B. Nagar,70476.79174766077,False,False,2.0,0.0,0.3333333333333333,0.5
iQOooGCn,Kalwakole,17.1268159880662,78.3615517096625,bus,MGB,Mahatma Gandhi Bus Station,41837.52549558662,False,False,2.0,0.6666666666666666,0.0,0.0
Jld5gZBE,Ramakrishnapuram,16.917741444043,78.3524429754563,bus,LBN,L. B. Nagar,70438.67224991495,False,False,1.0,0.0,0.0,0.0
6A1EbAPD,Lingaraopally,16.9138460228883,78.3609135346616,bus,LBN,L. B. Nagar,70499.77063969233,False,False,1.0,0.0,0.0,0.0
sOb9UMpk,Lingaraopally,16.9139640598726,78.3609724013683,bus,LBN,L. B. Nagar,70480.22884521067,False,False,1.0,0.0,0.0,0.0
wcyEEjSY,Ramakrishnapuram,16.9177876345489,78.3525127132018,bus,LBN,L. B. Nagar,70428.33972877776,False,False,1.0,0.0,0.0,0.0
2AUMB6ja,Gurbagh Puranapul Twd Cbs,17.3691432536015,78.4691854566335,bus,GAB,Gandhi Bhavan,2563.8104622958326,False,True,1.0,0.0,0.0,0.25
XGRdwaGh,Bapuhills,17.3853356236334,78.3805846299401,bus,PED,Peddamma Gudi,7861.011496563755,False,False,1.0,0.0,0.0,0.0
cqIVZEkD,Bapuhills,17.3850130119371,78.3806490159285,bus,PED,Peddamma Gudi,7897.952144264522,False,False,2.0,0.0,0.0,0.25
YV0IkVne,Shaikpet,17.402869,78.399996,bus,JCP,Jubilee Hills Checkpost,4267.543274978206,False,False,1.0,0.0,0.0,0.25
BGalzd0E,Ramkoti,17.3905172011217,78.4851975739002,bus,NAR,Narayanaguda,893.1532990713565,False,True,2.0,0.3333333333333333,0.0,0.5
lWuOBVJV,Babu Khan Estate,17.3714984456325,78.5409272558349,bus,CHP,Chaitanyapuri,641.3250820020343,True,True,1.0,0.3333333333333333,0.0,0.0
ixMmijMC,Babukhanestate,17.3715025086373,78.5408788817928,bus,CHP,Chaitanyapuri,637.4839447489976,True,True,1.0,0.0,0.0,0.0
LbMRuyed,Thommidi Rekula ( 9 Rekula ),16.8798204791061,78.3209860334194,bus,LBN,L. B. Nagar,77465.25886616264,False,False,2.0,0.0,0.0,0.0
UBLDHwUz,Ekwaipally,16.8648871057829,78.3120006337765,bus,LBN,L. B. Nagar,80034.99619751482,False,False,3.0,0.0,0.0,0.25
NfPCybEa,Tupdagadda Thanda,16.838,78.301,bus,LBN,L. B. Nagar,84347.33091303291,False,False,2.0,0.0,0.0,0.0
YUMUAz6L,Pedda Adiryal,16.8519651142136,78.2983856678598,bus,LBN,L. B. Nagar,82620.39547681746,False,False,2.0,0.0,0.0,0.0
LA4MB0Wp,Ekwaipally,16.864645821599,78.3120113648921,bus,LBN,L. B. Nagar,80067.02184117271,False,False,2.0,0.0,0.0,0.25
YQMrlHWK,Chinna Adiryal,16.8382156391358,78.2992480782668,bus,LBN,L. B. Nagar,84424.48474657816,False,False,2.0,0.3333333333333333,0.0,0.0
GurVu4R3,Konded,16.8321774022311,78.2848083972931,bus,LBN,L. B. Nagar,86134.98821826035,False,False,2.0,0.3333333333333333,0.0,0.0
rsP2TrrD,Singamdoddi,16.8152376922819,78.2674330213503,bus,LBN,L. B. Nagar,89515.47915522968,False,False,2.0,0.3333333333333333,0.0,0.0
evRGsAmB,Thummaloor,17.1286666553844,78.4602677778275,bus,LBN,L. B. Nagar,35378.58273172547,False,False,1.0,0.0,0.0,0.25
r0eOcvGB,Kollapadkal,17.0805072646614,78.363783358005,bus,MGB,Mahatma Gandhi Bus Station,48068.23413476543,False,False,1.0,0.0,0.0,0.0
YNjciDTp,Pedda Adiryal,16.8525242311623,78.2866978320146,bus,LBN,L. B. Nagar,83289.4134605867,False,False,2.0,0.0,0.0,0.25
nM7op47h,Chinna Adiryal,16.838216,78.299207,bus,LBN,L. B. Nagar,84426.93812291365,False,False,1.0,0.0,0.0,0.25
FqxiruyK,Konded,16.831947,78.284805,bus,LBN,L. B. Nagar,86166.15590444965,False,False,1.0,0.0,0.0,0.0
