stop_id,stop_name,stop_lat,stop_lon,LMCI_old,LMCI_new,LMCI_new2,LMCI_mean,Morning_LMCI,Midday_LMCI,Evening_LMCI,density_norm,walkzone_norm,Morning_freq_norm,stop_count_3km,stop_count_800m,demand_count,desert_severity,is_persistent_desert,priority_score,service_class,candidate_rank,covered_demand_points_if_selected,weighted_demand_if_selected,equity_weighted_candidate_score,mclp_selected,mclp_selection_rank,mclp_marginal_weighted_demand,mclp_cumulative_coverage_pct,assigned_demand_count,demand_signal,service_signal,mismatch_class,is_high_demand_low_service,is_possible_overserved,demand_percentile,service_percentile,lmci_gap_raw,lmci_gap_norm,demand_norm,mclp_candidate_norm,temporal_gap,temporal_gap_norm,desert_norm,final_priority_score,priority_band,final_priority_rank
IRM,Erra Manzil,17.4202292,78.4563489,3.769959173200288,3.6472890321534552,3.6472890321534552,3.769959173200288,3.6533151248927034,3.931356046747219,3.725206347960944,0.3527659574468085,0.5,0.3473713344146649,626.3,9,14,Persistent,True,4.671781925501909,Transit Desert,19,8,9.25,13.133177768813717,False,,0.0,0.0,0.0,14,3.6472890321534552,Balanced,False,False,57.01754385964912,68.42105263157895,2.8160848280289152,0.4607807770535202,0.2978723404255319,0.26510008326494594,0.2780409218545157,0.10233492960741279,1.0,38.92,Medium,31
PED,Peddamma Gudi,17.4306512,78.4083721,0.8109210055467453,0.7380747185802862,0.7380747185802862,0.8109210055467453,0.6534140943566278,0.8824486868188266,0.8969002354647816,0.0139817629179331,0.2857142857142857,0.074447748513169,69.0,6,0,Persistent,True,8.853896352655598,Transit Desert,55,0,0.0,0.0,False,,0.0,0.0,0.0,0,0.7380747185802862,Low Demand - Low Service,False,False,1.7543859649122806,5.263157894736842,5.725299141602084,0.9367998297046232,0.0,0.0,0.2434861411081538,0.08193341601994172,1.0,38.92,Medium,32
BTN,Bharat Nagar,17.4629092,78.4305364,3.274225396029749,2.7463230019135763,2.7463230019135763,3.274225396029749,2.948693938791374,3.306937404461803,3.5670448448360697,0.218419452887538,0.2142857142857142,0.4105777400169924,405.3,5,7,Persistent,True,5.37242019512461,Transit Desert,35,4,4.75,6.926128223741724,False,,0.0,0.0,0.0,7,2.7463230019135763,Balanced,False,False,37.719298245614034,42.10526315789473,3.7170508582687942,0.6082009908839873,0.14893617021276595,0.13980753182049363,0.6183509060446957,0.30325759837992433,1.0,38.5,Medium,33
ERA,Erragadda,17.4570487,78.4335811,1.7231963006795048,1.840326431373359,1.840326431373359,1.7231963006795048,1.8413978147523584,1.6921791835276292,1.6360119037585266,0.1610942249240121,0.2857142857142857,0.1875531011045029,311.0,6,6,Persistent,True,7.564545064451023,Transit Desert,44,2,2.0,2.9933510489484485,False,,0.0,0.0,0.0,6,1.840326431373359,Low Demand - Low Service,False,False,30.701754385964914,21.052631578947366,4.623047428809011,0.7564443249008627,0.1276595744680851,0.0604223613116542,0.20538591099383186,0.05943863105607089,1.0,37.99,Medium,34
BEG,Begumpet,17.4375661,78.4569341,2.6119332477342665,2.8276011154195864,2.8276011154195864,2.6119332477342665,2.6789779139315466,2.387805791706211,2.7690160375650423,0.1182978723404255,0.4285714285714285,0.4147292809144975,240.6,8,10,Persistent,True,6.308461365074617,Transit Desert,40,4,4.25,6.1823665899909415,False,,0.0,0.0,0.0,10,2.8276011154195864,Balanced,False,False,49.122807017543856,43.859649122807014,3.635772744762784,0.5949018913945173,0.2127659574468085,0.12479431304683085,0.38121024585883134,0.16324720628871858,1.0,37.92,Medium,35
DSN,Dilsukh Nagar,17.3685493,78.5253873,3.420871533357064,3.238979503296464,3.238979503296464,3.420871533357064,3.554708663776072,3.673643808914594,3.0342621273805253,0.2249240121580547,0.2142857142857142,0.5539507221750212,416.0,5,6,Persistent,True,5.165159966680428,Transit Desert,25,6,7.25,10.419507647256252,False,,0.0,0.0,0.0,6,3.238979503296464,Balanced,False,False,30.701754385964914,56.14035087719298,3.2243943568859064,0.5275902637964207,0.1276595744680851,0.2103232282004568,0.6393816815340689,0.31567439404854325,1.0,37.43,Medium,36
MYP,Miyapur,17.4965452,78.3730262,2.212781696359273,1.6708528571801589,1.6708528571801589,2.212781696359273,1.9748609292653836,2.192394000666299,2.471090159146137,0.2038297872340425,0.1428571428571428,0.203213712559507,381.3,4,1,Persistent,True,6.872596522192192,Transit Desert,56,0,0.0,0.0,False,,0.0,0.0,0.0,1,1.6708528571801589,Low Demand - Low Service,False,False,4.385964912280701,15.789473684210526,4.792521003002212,0.7841743721031121,0.02127659574468085,0.0,0.49622922988075335,0.2311556494811246,1.0,36.37,Medium,37
SUB,Sultan Bazar,17.3844473,78.4840241,4.9031991113926825,5.57841932376631,5.57841932376631,4.9031991113926825,5.355492687864929,4.973930324994154,4.380174321318963,0.2200607902735562,0.3571428571428571,0.9745114698385728,408.0,7,27,,False,3.070133407835316,Moderate,4,19,23.75,24.43780161226648,True,4.0,23.75,1.9450800915331807,19.0,27,5.57841932376631,High Demand - High Service,False,False,89.47368421052632,91.22807017543859,0.8849545364160605,0.14480033942452075,0.574468085106383,0.49328984624025657,0.9753183665459666,0.514015020027535,0.0,36.18,Medium,38
NAG,Nagole,17.3907683,78.5588222,2.402350174886704,2.373761391274985,2.373761391274985,2.402350174886704,2.834190178825775,2.4161116210210696,1.9567487248132664,0.2088145896656535,0.0714285714285714,0.4296721647672341,389.5,3,1,Persistent,True,6.604672614467875,Transit Desert,51,1,1.25,1.8424774025155035,False,,0.0,0.0,0.0,1,2.373761391274985,Low Demand - Low Service,False,False,4.385964912280701,31.57894736842105,4.089612468907386,0.6691612385092405,0.02127659574468085,0.03719137298061266,0.8774414540125086,0.45622743990632986,1.0,36.1,Medium,39
KUK,Kukatpally,17.4849033,78.4117896,3.5573196315377182,3.245683133066311,3.245683133066311,3.5573196315377182,3.164280506396236,3.2086378746927444,4.299040513524174,0.1477203647416413,0.3571428571428571,0.517133956386293,289.0,7,12,Partial,False,4.972312991539346,Transit Desert,14,11,13.5,14.92153213950226,False,,0.0,0.0,0.0,12,3.245683133066311,Balanced,False,False,54.385964912280706,57.89473684210527,3.2176907271160595,0.5264933850008373,0.2553191489361702,0.3011989544538026,1.1347600071279382,0.6081510766449468,0.0,35.79,Medium,40
